attraction,time,availablebicycles,availabledock,replication,
Dock D,285,80,0,1,
Dock B,285,67,13,1,
Bicycle A,286,73,7,1,
Dock C,286,75,5,1,
Bicycle D,286,79,1,1,
Dock D,286,80,0,1,
Dock A,287,74,6,1,
Bicycle A,287,73,7,1,
Dock A,288,74,6,1,
Dock A,288,75,5,1,
Bicycle C,289,74,6,1,
Bicycle C,289,73,7,1,
Dock C,289,74,6,1,
Bicycle A,290,74,6,1,
Dock C,290,75,5,1,
Bicycle A,290,73,7,1,
Dock B,291,68,12,1,
Bicycle C,291,74,6,1,
Dock B,291,67,13,1,
Bicycle D,291,79,1,1,
Dock D,291,80,0,1,
Bicycle C,291,73,7,1,
Bicycle A,292,72,8,1,
Dock C,292,74,6,1,
Dock B,292,66,14,1,
Bicycle D,293,79,1,1,
Dock D,293,80,0,1,
Dock B,293,67,13,1,
Bicycle D,294,79,1,1,
Dock D,294,80,0,1,
Dock A,294,73,7,1,
Bicycle A,296,72,8,1,
Dock A,296,73,7,1,
Bicycle A,296,72,8,1,
Dock C,296,75,5,1,
Dock B,296,68,12,1,
Dock A,297,73,7,1,
Dock B,297,69,11,1,
Dock B,298,68,12,1,
Bicycle D,298,79,1,1,
Dock D,298,80,0,1,
Bicycle C,298,74,6,1,
Dock B,300,67,13,1,
Dock C,300,75,5,1,
Dock B,300,68,12,1,
Dock A,301,74,6,1,
Dock B,301,69,11,1,
Dock B,301,68,12,1,
Bicycle A,302,73,7,1,
Bicycle A,303,72,8,1,
Dock B,304,69,11,1,
Bicycle C,305,74,6,1,
Dock C,306,75,5,1,
Bicycle A,306,71,9,1,
Bicycle A,306,70,10,1,
Dock C,308,76,4,1,
Dock B,308,70,10,1,
Bicycle D,310,79,1,1,
Dock D,310,80,0,1,
Dock C,310,77,3,1,
Dock B,310,69,11,1,
Dock B,311,70,10,1,
Dock B,311,71,9,1,
Dock B,311,72,8,1,
Dock B,313,71,9,1,
Dock A,313,71,9,1,
Bicycle C,314,76,4,1,
Bicycle A,314,70,10,1,
Dock B,315,70,10,1,
Bicycle D,315,79,1,1,
Dock D,315,80,0,1,
Bicycle C,316,75,5,1,
Bicycle C,316,74,6,1,
Dock B,317,69,11,1,
Bicycle D,318,79,1,1,
Dock D,318,80,0,1,
Dock C,319,75,5,1,
Dock A,319,71,9,1,
Dock B,320,70,10,1,
Bicycle D,320,79,1,1,
Dock D,320,80,0,1,
Bicycle A,321,70,10,1,
Dock C,321,76,4,1,
Bicycle C,321,75,5,1,
Dock C,322,76,4,1,
Dock A,322,71,9,1,
Bicycle A,322,70,10,1,
Dock B,323,69,11,1,
Bicycle C,323,75,5,1,
Dock C,323,76,4,1,
Bicycle D,324,79,1,1,
Dock D,324,80,0,1,
Dock A,324,71,9,1,
Dock B,324,68,12,1,
Dock B,324,67,13,1,
Dock B,325,66,14,1,
Dock A,326,72,8,1,
Dock B,327,65,15,1,
Bicycle A,327,71,9,1,
Bicycle D,328,79,1,1,
Dock D,328,80,0,1,
Dock B,328,66,14,1,
Dock B,328,65,15,1,
Dock C,329,77,3,1,
Dock B,329,66,14,1,
Bicycle C,330,76,4,1,
Bicycle A,330,70,10,1,
Dock C,330,77,3,1,
Dock B,331,65,15,1,
Dock C,332,78,2,1,
Dock C,332,79,1,1,
Dock B,332,66,14,1,
Dock A,332,71,9,1,
Dock C,334,80,0,1,
Dock B,334,65,15,1,
Bicycle D,334,79,1,1,
Dock D,334,80,0,1,
Dock B,335,66,14,1,
Bicycle D,335,79,1,1,
Dock D,335,80,0,1,
Dock B,336,65,15,1,
Bicycle A,336,70,10,1,
Dock A,337,71,9,1,
Dock A,337,72,8,1,
Bicycle C,339,79,1,1,
Dock C,339,80,0,1,
Bicycle A,340,71,9,1,
Dock B,340,64,16,1,
Dock B,340,65,15,1,
Dock B,343,64,16,1,
Bicycle C,343,79,1,1,
Dock C,343,80,0,1,
Bicycle C,344,79,1,1,
Dock C,344,80,0,1,
Bicycle A,346,70,10,1,
Bicycle D,346,79,1,1,
Dock D,346,80,0,1,
Dock B,347,63,17,1,
Dock B,347,64,16,1,
Bicycle D,348,79,1,1,
Dock D,348,80,0,1,
Bicycle A,349,69,11,1,
Dock A,349,70,10,1,
Dock A,351,71,9,1,
Dock B,352,65,15,1,
Bicycle D,355,79,1,1,
Dock D,355,80,0,1,
Bicycle A,355,70,10,1,
Bicycle A,355,69,11,1,
Bicycle D,355,79,1,1,
Dock D,355,80,0,1,
Bicycle C,356,79,1,1,
Dock C,356,80,0,1,
Dock B,357,66,14,1,
Bicycle C,357,79,1,1,
Dock C,357,80,0,1,
Bicycle D,357,79,1,1,
Dock D,357,80,0,1,
Dock A,358,70,10,1,
Bicycle A,358,69,11,1,
Dock B,358,65,15,1,
Bicycle D,358,79,1,1,
Dock D,358,80,0,1,
Dock A,359,70,10,1,
Dock B,359,64,16,1,
Dock B,359,63,17,1,
Dock B,360,62,18,1,
Dock A,360,71,9,1,
Bicycle C,360,79,1,1,
Dock C,360,80,0,1,
Bicycle D,360,79,1,1,
Dock D,360,80,0,1,
Dock B,361,61,19,1,
Dock A,361,72,8,1,
Dock B,361,62,18,1,
Bicycle C,362,79,1,1,
Dock C,362,80,0,1,
Dock B,363,63,17,1,
Dock B,364,62,18,1,
Dock B,364,61,19,1,
Bicycle C,364,79,1,1,
Dock C,364,80,0,1,
Dock A,365,73,7,1,
Dock B,365,60,20,1,
Bicycle A,365,72,8,1,
Dock B,367,61,19,1,
Dock B,367,60,20,1,
Bicycle C,367,79,1,1,
Dock C,367,80,0,1,
